reservatorio,adf_stat,adf_p,adf_rejeita,kpss_stat,kpss_p,kpss_rejeita,classificacao
PASSO SAO JOAO,-10.34328137155529,2.650812986083594e-18,True,0.06684826752781044,0.1,False,Estacionaria
SALTO OSORIO,-11.617931965852511,2.423433757234674e-21,True,0.1978321172198397,0.1,False,Estacionaria
SALTO SANTIAGO,-11.400105557585771,7.685421672046109e-21,True,0.19673149047490857,0.1,False,Estacionaria
FUNDÃO,-13.57221104842697,2.2038276805273963e-25,True,0.16176919614972476,0.1,False,Estacionaria
SANTA CLARA-PR,-13.61742113699349,1.8237874507375585e-25,True,0.1585143607726702,0.1,False,Estacionaria
SEGREDO,-12.621671502000188,1.573304957365307e-23,True,0.1929464734717436,0.1,False,Estacionaria
G. B. MUNHOZ,-11.150290323354193,2.9553222895160145e-20,True,0.2248881457996494,0.1,False,Estacionaria
SALTO PILAO,-17.39401402055171,4.990507615171806e-30,True,0.30107163728808795,0.1,False,Estacionaria
E. DA CUNHA,-7.252365143013805,1.7664469109745221e-10,True,0.4548889333246271,0.05349614942904005,False,Estacionaria
LAJEADO,-8.174713566191667,8.437590403430023e-13,True,0.2893774620995609,0.1,False,Estacionaria
PEIXE ANGICAL,-8.858511913786677,1.5049295370979407e-14,True,0.2526700998016046,0.1,False,Estacionaria
SAO SALVADOR,-8.173677818126812,8.489022454162324e-13,True,0.33131516960605173,0.1,False,Estacionaria
IRAPE,-11.677868464761463,1.770237905314e-21,True,0.356467465254847,0.0959191960108418,False,Estacionaria
CANA BRAVA,-8.145889530127526,9.991905651573303e-13,True,0.322829696558747,0.1,False,Estacionaria
PARAIBUNA,-8.459701444346004,1.5794822631959492e-13,True,0.18763387342526933,0.1,False,Estacionaria
SANTA BRANCA,-8.559162557606609,8.790774801464598e-14,True,0.1993557178248088,0.1,False,Estacionaria
SERRA DA MESA,-8.409883983300015,2.117886433601732e-13,True,0.33524754910385307,0.1,False,Estacionaria
FUNIL,-7.88310152756798,4.6459819479699876e-12,True,0.21476372582495573,0.1,False,Estacionaria
SANTA CECILIA,-7.5627328613886515,2.9803900010035716e-11,True,0.23467721325660937,0.1,False,Estacionaria
ANTA,-7.329744041398801,1.1360741472379781e-10,True,0.4541402383417753,0.05381886278371755,False,Estacionaria
IBITINGA,-7.7650685546415765,9.234685461017426e-12,True,0.4432607996041951,0.05850827603267453,False,Estacionaria
LAJES,-8.24471178363217,5.594306228761021e-13,True,0.28319947835749476,0.1,False,Estacionaria
PEREIRA PASSOS,-8.316780232808375,3.662657123805342e-13,True,0.27341688781429146,0.1,False,Estacionaria
EDGARD SOUZA,-8.743612256158505,2.9631500608003004e-14,True,0.1547442295832422,0.1,False,Estacionaria
PONTE NOVA,-9.372722075640016,7.303928573619206e-16,True,0.3732845007929073,0.08867047379616064,False,Estacionaria
JAURU,-6.852107980110932,1.6839967486413165e-09,True,0.35579175130292867,0.09621045202459971,False,Estacionaria
SAO JOSE,-10.925369844114643,1.0133853396935104e-19,True,0.08848400111708828,0.1,False,Estacionaria
MANSO,-9.691964407846621,1.1302212966338955e-16,True,0.3370633244903906,0.1,False,Estacionaria
SALTO CAXIAS,-11.769751852528833,1.0971076459693834e-21,True,0.20677404346169195,0.1,False,Estacionaria
ERNESTINA,-11.15597092440318,2.8654317335172974e-20,True,0.41373314147616863,0.07123571488096181,False,Estacionaria
LIMOEIRO,-7.272684100294907,1.5733722750608934e-10,True,0.4567207693395142,0.05270656493986457,False,Estacionaria
JACUI,-10.231075067611956,5.027104758991112e-18,True,0.29229921110801477,0.1,False,Estacionaria
QUEBRA QUEIXO,-13.763743391657487,9.973619088353444e-26,True,0.09841628249463603,0.1,False,Estacionaria
BOA ESPERANÃA,-9.172193179389938,2.371850420538387e-15,True,0.4087504602336518,0.07338342231308112,False,Estacionaria
FOZ CHAPECO,-11.677653289528536,1.7722301156439445e-21,True,0.17295110308160228,0.1,False,Estacionaria
MONJOLINHO,-11.036478998166354,5.500972533449548e-20,True,0.1089337348017627,0.1,False,Estacionaria
PASSO FUNDO,-10.908539610648328,1.1120528064112395e-19,True,0.16043598160119188,0.1,False,Estacionaria
ITÃ,-13.065769410934639,2.003927952502964e-24,True,0.12140584253166885,0.1,False,Estacionaria
COARACY NUNES,-7.672658428581889,1.578542980118053e-11,True,0.04412881853538323,0.1,False,Estacionaria
PASSO REAL,-10.422163046388327,1.6936032765049396e-18,True,0.292082691064227,0.1,False,Estacionaria
CURUA-UNA,-7.049567447581828,5.571776532978975e-10,True,0.15131980455286226,0.1,False,Estacionaria
STO ANTONIO DO JARI,-7.144259868718119,3.263651683815602e-10,True,0.06731279677477194,0.1,False,Estacionaria
PIMENTAL,-10.327522777259194,2.8995592465887476e-18,True,0.08026702909469692,0.1,False,Estacionaria
ESTREITO,-8.107272371512394,1.2530406940275331e-12,True,0.3664061901001648,0.09163526288786,False,Estacionaria
TUCURUI,-9.728670842782725,9.128119970908661e-17,True,0.28557613272463206,0.1,False,Estacionaria
MACHADINHO,-10.0703174897665,1.2640289386537326e-17,True,0.11924532790771081,0.1,False,Estacionaria
JIRAU,-9.676239898408902,1.2386195509289853e-16,True,0.08260978234258211,0.1,False,Estacionaria
BALBINA,-7.191558094037827,2.4959665973253607e-10,True,0.13121901915666254,0.1,False,Estacionaria
SAMUEL,-8.023413280441083,2.0474020392525925e-12,True,0.06086123832142328,0.1,False,Estacionaria
BARRA GRANDE,-11.79948035698207,9.405241940031453e-22,True,0.1038888108412863,0.1,False,Estacionaria
DARDANELOS,-8.873082764817141,1.381045054136514e-14,True,0.1598740192013254,0.1,False,Estacionaria
CAMPOS NOVOS,-10.935577421063808,9.579038011280926e-20,True,0.13300889688705309,0.1,False,Estacionaria
D. FRANCISCA,-11.453794226482554,5.772175046565369e-21,True,0.16051814401208206,0.1,False,Estacionaria
SANTO ANTONIO,-9.704911776140966,1.0481565704978621e-16,True,0.07564338628357092,0.1,False,Estacionaria
SALTO GRANDE CM,-7.928220994865066,3.570880152388918e-12,True,0.321484375208787,0.1,False,Estacionaria
ITAUBA,-10.992344087894194,7.008340806455714e-20,True,0.21211752258675592,0.1,False,Estacionaria
TELES PIRES,-9.315152940209252,1.0238819155811773e-15,True,0.2947254565165661,0.1,False,Estacionaria
CASTRO ALVES,-15.375873925203166,3.4590362962084786e-28,True,0.13545863482645645,0.1,False,Estacionaria
GARIBALDI,-10.307167516545295,3.2560214722612545e-18,True,0.1150020860090913,0.1,False,Estacionaria
14 DE JULHO,-15.742139395668353,1.2521696239734477e-28,True,0.08007901858992846,0.1,False,Estacionaria
MONTE CLARO,-15.961584739790162,7.168229077846665e-29,True,0.0831514181866198,0.1,False,Estacionaria
PONTE DE PEDRA,-4.813038466287607,5.134706677824959e-05,True,6.209633530080162,0.01,True,Nao estacionaria no kpss
ITAIPU,-7.510110678199433,4.0365415818052366e-11,True,1.1231524054938802,0.01,True,Nao estacionaria no kpss
PORTO PRIMAVERA,-7.680506396896586,1.5083777298554415e-11,True,1.401619731692033,0.01,True,Nao estacionaria no kpss
JUPIA,-7.487259204145177,4.6039715389230316e-11,True,1.3600983751872653,0.01,True,Nao estacionaria no kpss
